year,scenario,mean_yield,crop
2003,observed,20.605562289555866,Dry Pea
2004,observed,20.461143153054373,Dry Pea
2005,observed,18.326992332935333,Dry Pea
2006,observed,17.032484110011612,Dry Pea
2007,observed,19.409464772542318,Dry Pea
2008,observed,20.17676814397176,Dry Pea
2009,observed,14.14842894077301,Dry Pea
2010,observed,18.870091428562088,Dry Pea
2011,observed,19.388126699548017,Dry Pea
2012,observed,21.722709231906467,Dry Pea
2013,observed,11.620530992746353,Dry Pea
2014,observed,19.441239992777508,Dry Pea
2015,observed,16.781028747558594,Dry Pea
2016,observed,12.18204493182046,Dry Pea
2017,observed,16.501458238672328,Dry Pea
2018,observed,17.779438536507744,Dry Pea
1999,no_thaw,16.046025335788727,Dry Pea
2000,no_thaw,18.404125170274213,Dry Pea
2001,no_thaw,17.244663008328143,Dry Pea
2002,no_thaw,15.431164423624674,Dry Pea
2003,no_thaw,19.45541175206502,Dry Pea
2004,no_thaw,18.287915865580242,Dry Pea
2005,no_thaw,18.41599837216464,Dry Pea
2006,no_thaw,17.820741494496662,Dry Pea
2007,no_thaw,17.97705420580777,Dry Pea
2008,no_thaw,20.17676814397176,Dry Pea
2009,no_thaw,14.14842894077301,Dry Pea
2010,no_thaw,22.547456081096943,Dry Pea
2011,no_thaw,16.850612783432005,Dry Pea
2012,no_thaw,21.722709231906467,Dry Pea
2013,no_thaw,12.744740962982178,Dry Pea
2014,no_thaw,19.52974557876587,Dry Pea
2015,no_thaw,18.203152020772297,Dry Pea
2016,no_thaw,11.497418860594431,Dry Pea
2017,no_thaw,18.669181074414933,Dry Pea
2018,no_thaw,19.25930845169794,Dry Pea
1979,observed,,Winter Rape
1980,observed,,Winter Rape
1981,observed,,Winter Rape
1982,observed,,Winter Rape
1983,observed,11.603097259998322,Winter Rape
1984,observed,8.856284856796265,Winter Rape
1985,observed,16.423925399780273,Winter Rape
1986,observed,,Winter Rape
1987,observed,27.3350772857666,Winter Rape
1988,observed,,Winter Rape
1989,observed,20.2372407913208,Winter Rape
1990,observed,26.278204917907715,Winter Rape
1991,observed,,Winter Rape
1992,observed,22.935609499613445,Winter Rape
1993,observed,18.7986315091451,Winter Rape
1994,observed,21.446950912475586,Winter Rape
1995,observed,,Winter Rape
1996,observed,3.269139051437378,Winter Rape
1997,observed,,Winter Rape
1998,observed,21.290918294121237,Winter Rape
1999,observed,6.873179912567139,Winter Rape
2000,observed,,Winter Rape
2001,observed,18.125505447387695,Winter Rape
2002,observed,19.81060767173767,Winter Rape
2003,observed,20.22480224160587,Winter Rape
2004,observed,25.099853379385813,Winter Rape
2005,observed,20.80329929192861,Winter Rape
2006,observed,18.93132432301839,Winter Rape
2007,observed,9.11764140923818,Winter Rape
2008,observed,14.60925555229187,Winter Rape
2009,observed,13.860272748129708,Winter Rape
2010,observed,30.170050621032715,Winter Rape
2011,observed,11.098233222961426,Winter Rape
2012,observed,23.294754028320312,Winter Rape
2013,observed,14.81041478117307,Winter Rape
2014,observed,26.5826661851671,Winter Rape
2015,observed,13.647432327270508,Winter Rape
2016,observed,19.31127677514003,Winter Rape
2017,observed,25.735031127929688,Winter Rape
2018,observed,27.12107253074646,Winter Rape
1999,no_thaw,6.873179912567139,Winter Rape
2000,no_thaw,,Winter Rape
2001,no_thaw,22.17485809326172,Winter Rape
2002,no_thaw,21.071240425109863,Winter Rape
2003,no_thaw,21.0502804347447,Winter Rape
2004,no_thaw,26.708441416422527,Winter Rape
2005,no_thaw,20.77762009547307,Winter Rape
2006,no_thaw,16.06740379333496,Winter Rape
2007,no_thaw,18.855681896209717,Winter Rape
2008,no_thaw,18.434637959798177,Winter Rape
2009,no_thaw,14.258050203781861,Winter Rape
2010,no_thaw,26.49516067504883,Winter Rape
2011,no_thaw,18.453932762145996,Winter Rape
2012,no_thaw,19.855882432725693,Winter Rape
2013,no_thaw,10.852311337987581,Winter Rape
2014,no_thaw,28.840500831604004,Winter Rape
2015,no_thaw,22.30961239337921,Winter Rape
2016,no_thaw,19.073433349007054,Winter Rape
2017,no_thaw,,Winter Rape
2018,no_thaw,24.556308090686798,Winter Rape
1979,observed,19.98629157325273,Spring Rape
1980,observed,22.177525261380026,Spring Rape
1981,observed,22.079515718425494,Spring Rape
1982,observed,19.929665498601064,Spring Rape
1983,observed,19.82682701945305,Spring Rape
1984,observed,21.23720652728841,Spring Rape
1985,observed,21.13667149727161,Spring Rape
1986,observed,19.874844254945454,Spring Rape
1987,observed,20.120458180135717,Spring Rape
1988,observed,21.89372290525681,Spring Rape
1989,observed,20.29365564755031,Spring Rape
1990,observed,22.958614283992397,Spring Rape
1991,observed,24.0603306812947,Spring Rape
1992,observed,20.094297145755547,Spring Rape
1993,observed,19.749031841754913,Spring Rape
1994,observed,22.155037951993418,Spring Rape
1995,observed,22.983119513988495,Spring Rape
1996,observed,22.14984178079499,Spring Rape
1997,observed,22.637953412921533,Spring Rape
1998,observed,24.46681850289674,Spring Rape
1999,observed,21.464376633923226,Spring Rape
2000,observed,25.976284935497322,Spring Rape
2001,observed,23.739415033867484,Spring Rape
2002,observed,22.876644659508322,Spring Rape
2003,observed,22.186042675058893,Spring Rape
2004,observed,22.09339045199202,Spring Rape
2005,observed,22.178627085394975,Spring Rape
2006,observed,23.584117870375582,Spring Rape
2007,observed,23.65948060912601,Spring Rape
2008,observed,22.39949196761893,Spring Rape
2009,observed,22.016434896559943,Spring Rape
2010,observed,23.63221421370057,Spring Rape
2011,observed,22.661180298297833,Spring Rape
2012,observed,21.671982137524353,Spring Rape
2013,observed,23.82842563084907,Spring Rape
2014,observed,21.91638342599676,Spring Rape
2015,observed,22.246277905576598,Spring Rape
2016,observed,24.009410234310167,Spring Rape
2017,observed,21.93557883688241,Spring Rape
2018,observed,22.095401670828284,Spring Rape
1999,no_thaw,20.92774848116136,Spring Rape
2000,no_thaw,24.882544287563075,Spring Rape
2001,no_thaw,23.086335769340174,Spring Rape
2002,no_thaw,22.926562345854126,Spring Rape
2003,no_thaw,22.627900015562773,Spring Rape
2004,no_thaw,24.246503050734358,Spring Rape
2005,no_thaw,24.209653522372246,Spring Rape
2006,no_thaw,23.735527145742164,Spring Rape
2007,no_thaw,23.597978577017784,Spring Rape
2008,no_thaw,22.53925103908632,Spring Rape
2009,no_thaw,22.078372256145922,Spring Rape
2010,no_thaw,28.08779015918236,Spring Rape
2011,no_thaw,25.25101949832191,Spring Rape
2012,no_thaw,22.52880280832701,Spring Rape
2013,no_thaw,23.488176114857197,Spring Rape
2014,no_thaw,22.58491440007561,Spring Rape
2015,no_thaw,23.474718912182567,Spring Rape
2016,no_thaw,23.48225475947062,Spring Rape
2017,no_thaw,22.463689309764284,Spring Rape
2018,no_thaw,24.613568349992587,Spring Rape
