year,crop,mean_delta,pct_positive,pct_negative
2006,Spring Rape,0.016036655211912942,1.6609392898052693,1.0309278350515463
2007,Spring Rape,0.05555555555555555,2.86368843069874,0.286368843069874
2008,Spring Rape,0.06242840778923253,3.3218785796105386,0.22909507445589922
2009,Spring Rape,0.04009163802978236,2.1191294387170676,0.0
2010,Spring Rape,0.044673539518900345,3.379152348224513,0.8018327605956471
2011,Spring Rape,0.001718213058419244,1.718213058419244,1.0309278350515463
2012,Spring Rape,0.038946162657502864,2.520045819014891,0.286368843069874
2013,Spring Rape,0.001145475372279496,0.9163802978235969,1.0309278350515463
2014,Spring Rape,0.0028636884306987398,1.0309278350515463,0.6300114547537228
2015,Spring Rape,0.03837342497136312,2.405498281786942,0.286368843069874
2016,Spring Rape,0.03951890034364261,1.4891179839633446,0.057273768613974804
2017,Spring Rape,0.04868270332187858,2.4627720504009165,0.057273768613974804
2018,Spring Rape,0.0057273768613974796,2.290950744558992,0.9163802978235969
