delta_suit,delta_lgp,delta_fc2,mean_precip
0.0,36.4,0.0,175.93349838256836
0.0,34.55,0.0,197.6362503051758
0.0,34.1,0.0,215.1599925994873
0.0,25.55,0.0,220.51875381469728
0.0,8.45,0.0,226.3035026550293
0.0,28.2,0.0,241.44187202453614
0.0,43.65,0.0,260.7273723602295
0.0,47.55,0.0,276.98100128173826
0.0,59.8,0.0,282.19386825561526
0.0,35.8,0.0,286.8438751220703
0.0,14.05,0.0,278.19525451660155
0.0,1.6,0.0,265.73699645996095
0.0,9.1,0.0,259.0957511901855
0.0,24.35,0.0,267.5962516784668
0.0,24.85,0.0,276.4679946899414
0.0,20.25,0.0,294.8163703918457
0.0,13.9,0.0,317.542497253418
0.0,9.95,0.0,337.0353691101074
0.0,6.45,0.0,347.22449645996096
0.0,6.1,0.0,357.9033737182617
0.0,5.1,0.0,369.45899963378906
0.0,6.75,0.0,380.8260025024414
0.0,1.45,0.0,389.8762435913086
0.0,0.25,0.0,390.21788024902344
0.0,0.45,0.0,391.34249420166014
0.0,0.85,0.0,388.1996337890625
0.0,0.35,0.0,383.4761215209961
0.0,0.15,0.0,381.78975067138674
0.0,1.65,0.0,386.2901336669922
0.0,1.35,0.0,390.9918701171875
0.0,0.0,0.0,410.0669967651367
0.0,0.0,0.0,432.97200164794924
0.0,0.0,0.0,449.92462463378905
0.0,0.0,0.0,451.1310104370117
0.0,0.0,0.0,451.58324737548827
0.0,0.25,0.0,450.81750640869143
0.0,0.0,0.0,448.9788818359375
0.0,0.0,0.0,449.0355026245117
0.0,0.0,0.0,456.50438232421874
0.0,0.2,0.0,461.4618743896484
0.0,0.0,0.0,461.44875183105466
0.0,2.25,0.0,456.93037567138674
0.0,0.0,0.0,444.21787414550784
0.0,0.0,0.0,420.20286865234374
0.0,-0.7,0.0,396.4031234741211
0.0,-1.85,0.049839341640472413,373.25587463378906
0.0,-5.0,0.0,353.025373840332
0.0,-4.3,0.0,346.5221237182617
0.0,-0.35,0.0,372.69675598144534
0.0,4.05,0.0,409.1291213989258
0.0,26.2,0.5478452533483505,400.1133804321289
0.0,9.25,0.0,78.35662479400635
0.0,11.7,0.0,84.64987564086914
0.0,11.85,0.0,90.67424964904785
0.0,14.95,0.0,96.58912544250488
0.0,16.4,0.0,101.42024955749511
0.0,18.55,0.0,107.24850044250488
0.0,18.55,0.0,115.64962711334229
0.0,19.95,0.0,127.23375034332275
0.0,20.3,0.0,139.23075103759766
0.0,22.9,0.0,150.17549934387208
0.0,23.8,0.0,163.99837379455568
0.0,14.4,0.0,185.30100021362304
0.0,14.1,0.0,210.03899917602538
0.0,10.0,0.0,229.72162322998048
0.0,10.3,0.0,232.63462829589844
0.0,8.15,0.0,236.45399627685546
0.0,17.25,0.0,252.90711975097656
0.0,21.25,0.0,276.52424850463865
0.0,22.85,0.0,298.2060028076172
0.0,28.5,0.0,310.97737884521484
0.0,36.6,0.0,324.0318687438965
0.0,39.35,0.0,309.32925033569336
0.0,39.4,0.0,286.46587829589845
0.0,27.65,0.0,270.89325256347655
0.0,9.85,0.0,277.1077545166016
0.0,4.15,0.0,283.7160018920898
0.0,7.5,0.0,293.46188201904295
0.0,6.85,0.0,305.65650329589846
0.0,3.45,0.0,318.5643737792969
0.0,5.0,0.0,332.93849487304686
0.0,5.05,0.0,348.2351219177246
0.0,-0.5,0.0,377.295751953125
0.0,1.0,0.0,380.70149993896484
0.0,0.65,0.0,386.7554992675781
0.0,0.4,0.0,389.2612503051758
0.0,0.65,0.0,391.379248046875
0.0,0.05,0.0,394.71075439453125
0.0,-0.7,0.0,396.6933792114258
0.0,-0.2,0.0,399.4646194458008
